landcover_propforest,landcover_prophighshrub,landcover_proplowshrub,landcover_propreed,landcover_propsaltmarsh,landcover_propswamp,lidar_C_ppr,lidar_HH_reedveg_prop,lidar_HH_sd,lidar_HH_sd_low,lidar_VD_1_2,lidar_VD_2_3,lidar_VV_kurt,lidar_VV_p25,lidar_VV_std,optical_NDVImed,optical_NDVIsd_hor_100m,optical_NDVIstd,radar_VHsd_hor_100m,radar_VHstd,radar_VVmax,radar_VVstd,occurrence,x,y
0,2988,0,1338.709595,150.0095825,1379.284912,0.283764869,75,0.874668002,0.874668002,0.550440729,0.120470129,-0.031633899,0.882000029,0.642870486,0.709099531,0.243126422,0.151002824,2.656142473,2.121117353,-5.249558926,2.230158567,0,141540.2917,489852.2513
0,0,322,0,0,2091,0.435691327,83,0.558317542,0.558317542,0.021008404,0,11.37411213,0.124250002,0.200224444,0.232863426,0.12098185,0.203962311,1.518599272,3.025920391,-5.934666157,2.625633955,0,193517.2598,530285.7291
0,0,0,0,0,0,0.999270618,0,0.085575506,0.085575506,0,0,-3,0.149000004,0,0.59207648,0.037687629,0.136615425,0.542974353,2.532848358,-7.942117214,2.456620932,0,148839.7096,474812.6573
0,996.1070557,0,41.12400055,0,2542.124023,0.888888896,28,3.745482922,1.145764232,0,0,-0.728924334,0.097999997,0.125036985,0.420201331,0.084530219,0.134711727,2.104142904,2.707917213,-7.78347683,2.519716024,0,203384.8478,525281.3267
0,0,0,0,0,0,0.95070821,2,4.733579636,0.159305871,0,0,0.13549608,0.122500002,0.035626452,0.415408909,0.070422485,0.13565287,1.435437918,2.476967335,-7.404895782,2.334839582,0,180268.0463,452809.3941
0,0,0,0,119.3295364,4670.032227,0.808720112,50,0.701337218,0.701337218,0.275735289,0,-0.710683346,0.234750003,0.509792924,0.588703036,0.05994828,0.106506042,0.678030491,2.551542044,-7.0952878,2.341697931,0,230482.2427,577351.7943
1032.869995,8299.099609,967.4099121,987.4240112,0,205.5480042,0.074787974,4,5.371587753,1.860878944,0.151250005,0.138125002,-0.81433326,1.779000044,2.401669979,0.680285931,0.040156517,0.098732412,1.784576774,2.479679346,-3.184942961,2.145411253,0,266652.2473,482606.903
171.5679932,0,0,171.5679932,0,0,0.944119573,3,8.624843597,0.51620084,0,0,0.168820128,0.122000001,0.0287672,0.569234729,0.047003254,0.138230592,2.94589901,2.89782238,-6.986505985,2.391342402,0,181333.0611,450696.6202
0,0,0,0,0,4961,0.896700144,3,0.203238979,0.203238979,0,0,39.82071304,0.181500003,0.091342077,0.708206177,0.011553044,0.025079606,0.516069233,3.071713924,-9.087363243,2.056053162,0,224299.5549,563435.1773
263.0639038,0,0,0,0,1025,0.881163061,27,0.911113322,0.509170771,0,0,4.442736626,0.136000007,0.102796525,0.640182674,0.040251058,0.056478646,0.667081714,2.346840382,-7.902101517,2.522471189,0,203861.2199,520611.0067
472.4519958,8300,0,472.4519958,0,2296,0.797681749,13,4.930277348,1.039027333,0.067708336,0.0625,4.272455215,0.162750006,0.597394526,0.528300107,0.052608792,0.145801216,2.606079102,2.179551363,-7.70681572,2.280612707,0,198108.3047,525683.3181
127.6850891,996.0450439,0,1804.542358,0,1839.149292,0.547445238,32,6.642172337,1.149906516,0.241935477,0.00672043,-0.044131249,0.202000007,0.545952439,0.474745423,0.062654801,0.201913312,2.1267941,2.331637144,-6.328968525,1.948939204,0,207842.3039,430088.4561
0,0,0,1921.399048,0,3725.398926,0.594312251,63,3.102084398,0.913409829,0.25464949,0.010014306,0.209249407,0.226500005,0.499112129,0.551190972,0.099210612,0.196567774,1.858135343,2.427712202,-5.049842358,2.514988184,0,259113.4306,584623.1377
42.27604675,1660,0,42.27604675,0,0,0.99935776,3,3.08463335,0.82997036,0,0,-3,0.143999994,0,0.647778571,0.061215695,0.125470012,1.499496222,2.67654562,-10.556777,1.772580028,0,197798.6551,526621.4484
1461.452026,10956.61035,0,1755.311035,0,498.1795044,0.296014607,16,4.071193695,1.309429049,0.071737252,0.08513397,-1.073003888,1.828500032,2.866535425,0.583994389,0.036552798,0.150429159,1.526867509,1.865786076,-4.923698425,1.956046581,0,195609.015,534523.018
43.97195053,5976.197266,0,0,0,0,0.407114625,18,5.623243809,1.20836103,0.237777784,0.052222222,-1.423408151,1.348500013,3.546849728,0.687021136,0.032020599,0.134046391,2.117268085,1.908664584,-5.576705456,1.936948299,0,204871.8014,447083.0125
0,0,0,0,0,1312,0.794930875,17,3.237651825,1.067845106,0,0,-1.57400775,0.11225,0.152285933,0.512437224,0.117384985,0.094234459,1.56864655,2.333585978,-9.731207848,2.037510633,0,200181.2933,520049.4581
168.1121979,0,0,2721.02417,0,3003.911865,0.471500218,81,0.335769594,0.335769594,0.519413292,0.012079379,-1.531515956,0.25,0.626951218,0.573875904,0.112087667,0.159932792,1.482071638,2.899247885,-7.752898216,2.84512639,0,193978.3079,523946.332
0,0,0,0,0,0,0.994520545,9,0.789201498,0.789201498,0.25,0,-0.67076689,0.205500007,0.464408427,0.704307437,0.038587566,0.062376097,0.646178722,2.59928751,-6.275169373,2.356842279,0,224908.4939,568716.4065
128.7609406,0,0,128.7609406,0,0,0.607843161,7,6.30035305,1.514356732,0,0,-0.717930555,0.192499995,0.209327444,0.430740654,0.120389454,0.116848476,2.590880394,2.757307768,-6.62622118,2.501672745,0,272858.4383,553230.7566
0,0,0,0,90.31257629,4469,0.612734079,5,1.173083067,0.310689211,0,0,6.924170971,0.159999996,0.107204922,0.534999788,0.055841874,0.059679817,0.47943911,2.579250097,-8.06665802,2.19122529,0,240572.2133,579076.3032
0,0,0,0,30.47999954,0,0.979710162,8,7.04031229,1.08844614,0,0,1.465702653,0.096000001,0.028104829,0.672686517,0.071694046,0.140835479,2.003460407,2.465310335,-6.712615013,1.954397082,0,259025.6746,545736.9066
300.4260864,0,0,170.3899994,0,0,0.850334466,17,4.314796925,0.347330153,0.055865921,0,1.009519815,6.406750202,2.363417625,0.710859537,0.03980615,0.090745978,2.606015921,2.120527029,-2.739590645,2.261570215,0,214406.1411,538333.186
0,0,0,0,0,0,0.990553319,0,0.067669578,0.067669578,0,0,-0.400530338,0.188500002,0.038899139,0.633972168,0.117456876,0.095755696,0.573812604,2.282928705,-9.715085983,2.068794966,0,211102.7164,598173.5171
0,665.4520264,0,1713.810913,0,1836.810913,0.386666656,51,2.897602081,0.675912917,0.217391297,0.295893729,-1.569931746,0.196999997,0.962432683,0.27441892,0.113267586,0.215499818,1.41626966,2.340030909,-5.784024715,2.955635309,0,184021.9671,512384.9099
0,0,0,0,0,2583,0.164874554,2,0.215059355,0.215059355,0,0,-2,0.0845,0.028999999,0.514271796,0.081829704,0.055374887,1.483184218,3.15070796,-9.525497437,2.911094904,0,209796.3517,538896.8937
86.9391861,0,0,0,0,0,0.994173706,6,9.683670998,0.880442083,0,0,-1.961461067,0.181500003,2.411319256,0.585654378,0.063438758,0.092384554,1.951964259,2.15391326,-5.791795731,2.010959864,0,196620.7856,448317.9289
0,0,322,207.3899994,0,3938.389893,0.319050759,53,0.583462715,0.583462715,0.245885774,0.000968054,-0.400981307,0.211999997,0.526539087,0.380410999,0.0770953,0.130353555,2.012741089,3.605834246,-4.926233292,3.330927372,0,195718.3075,530220.315
42.09600067,0,0,332.7939453,0,4185.697754,0.884020627,48,5.44006443,1.036937475,0,0,9.002210617,0.179749995,0.094766699,0.532049656,0.044222858,0.178867221,0.856040537,2.431625128,-7.657981396,2.034970522,0,209782.9173,593977.5553
